episode,return,success,steps
1,-1409.0122499999975,1,778
2,-2338.8001249999943,0,1000
3,-2544.8865000000005,0,1000
4,-2398.830000000002,0,1000
5,-2685.238875000009,0,1000
6,-1690.7730000000008,1,678
7,-2208.25037500001,0,1000
8,-3021.2070000000067,0,1000
9,-2484.3084999999974,0,1000
10,-2097.429374999998,0,1000
11,-1279.5478750000045,1,678
12,-1741.5621249999986,0,1000
13,-2238.4807500000065,0,1000
14,-2188.4340000000034,0,1000
15,-2459.441625000011,0,1000
16,-2339.052875000003,0,1000
17,-2262.9302499999962,0,1000
18,-1927.0907499999978,0,1000
19,-2279.5501250000066,0,1000
20,-2519.358624999993,0,1000
21,-2267.8690000000024,0,1000
22,-343.22312499999947,1,235
23,-491.57687499999963,1,371
24,-2228.183125000003,0,1000
25,-2343.393874999999,0,1000
26,-2042.7357499999969,0,1000
27,-2499.4899999999993,0,1000
28,-1898.1100000000006,0,1000
29,-2243.326625000005,0,1000
30,-2744.7988750000018,0,1000
31,-2499.5177499999972,0,1000
32,-2092.9347500000063,0,1000
33,-2058.332000000012,0,1000
34,-2570.1402499999913,0,1000
35,-1801.4816249999967,0,1000
36,-2002.6742500000096,0,1000
37,-641.6464999999998,1,387
38,-1962.9664999999998,0,1000
39,-2052.7426249999976,0,1000
40,-2509.583625000003,0,1000
41,-2103.041000000006,0,1000
42,-2218.4591250000053,0,1000
43,-1536.6248750000013,0,1000
44,-2474.0223750000027,0,1000
45,-1938.1666250000028,0,1000
46,-2208.5028749999974,0,1000
47,-2012.9012500000003,0,1000
48,-1741.7698749999986,0,1000
49,-2293.8106250000033,0,1000
50,-2274.3268749999984,0,1000
51,-1767.068250000001,0,1000
52,-2458.3167499999977,0,1000
53,-2088.220625000007,0,1000
54,-1630.8450000000084,0,1000
55,-1988.0548750000005,0,1000
56,-1572.1178750000022,0,1000
57,-1872.6832499999966,0,1000
58,-825.6112499999974,1,545
59,-1882.4581250000113,0,1000
60,-2068.4605000000047,0,1000
61,-1631.73562500001,0,1000
62,-1912.1347500000031,0,1000
63,-2032.886875000003,0,1000
64,-1555.4677499999998,0,1000
65,-1687.2217500000002,1,1000
66,-2107.8756250000047,0,1000
67,-1712.48,0,1000
68,-1490.1106250000003,0,1000
69,-1320.6098750000003,0,1000
70,-2188.3516249999934,0,1000
71,-2293.953625000008,0,1000
72,-1496.0340000000015,0,1000
73,-1786.9496249999975,0,1000
74,-1132.2636250000012,1,800
75,-1065.1274999999955,0,1000
76,-1797.583249999999,0,1000
77,-1731.6437499999952,0,1000
78,-1576.6695000000013,0,1000
