episode,return,success,steps
1,-2634.353874999994,0,1000
2,-2538.7587499999977,0,1000
3,-2182.2312499999985,0,1000
4,-1912.862375000003,1,927
5,-1862.730000000001,0,1000
6,-2513.4132499999973,0,1000
7,-2083.2692500000016,0,1000
8,-2313.4333750000005,0,1000
9,-2524.5981249999973,0,1000
10,-2695.348,0,1000
11,-2132.649750000001,0,1000
12,-2820.0046249999955,0,1000
13,-2328.5481249999984,0,1000
14,-2088.148375000003,0,1000
15,-2518.3736250000015,0,1000
16,-2058.3677500000067,0,1000
17,-2930.4068750000074,0,1000
18,-2343.684749999995,0,1000
19,-2734.844750000008,0,1000
20,-3049.9063749999937,0,1000
21,-2659.53999999999,0,1000
22,-2303.004250000001,0,1000
23,-2658.7021250000007,0,1000
24,-2588.958375000005,0,1000
25,-2784.5832500000065,0,1000
26,-2574.879250000006,0,1000
27,-2965.545500000005,0,1000
28,-3356.822125000005,0,1000
29,-3256.2525000000005,0,1000
30,-3542.123500000002,0,1000
31,-3767.3790000000013,0,1000
32,-3496.678000000004,0,1000
33,-3652.5320000000024,0,1000
34,-3101.121874999996,0,1000
35,-3251.8616249999973,0,1000
36,-3457.095750000008,0,1000
37,-3672.5686250000012,0,1000
38,-3527.1170000000006,0,1000
39,-3606.9085000000023,0,1000
40,-4299.5800000000145,0,1000
41,-4203.524875000003,0,1000
42,-3420.697749999999,0,1000
43,-3742.6389999999997,0,1000
44,-4052.8393750000105,0,1000
45,-3697.1285000000003,0,1000
46,-3701.8150000000005,0,1000
47,-3361.172000000012,0,1000
48,-3246.5131250000045,0,1000
49,-3236.085625000012,0,1000
50,-3556.9257500000117,0,1000
51,-2969.415125000009,0,1000
52,-3482.638125000011,0,1000
53,-2482.633624999999,0,1000
54,-2793.988000000002,0,1000
55,-2828.9040000000155,0,1000
56,-2648.980125000002,0,1000
57,-2794.717999999997,0,1000
58,-2618.9347500000017,0,1000
59,-2242.5437500000035,0,1000
60,-2493.155499999999,0,1000
61,-2778.0756250000027,0,1000
62,-2673.7125000000137,0,1000
63,-3646.9394999999995,0,1000
64,-2553.399624999998,0,1000
65,-2157.4005000000034,0,1000
66,-2764.3639999999955,0,1000
67,-2418.2057500000074,0,1000
68,-2824.9703750000062,0,1000
69,-2222.979375000007,0,1000
70,-2348.275500000002,0,1000
71,-2332.8465000000024,0,1000
72,-2804.6377500000126,0,1000
73,-2975.1547500000006,0,1000
74,-3064.716125000001,0,1000
75,-3176.143999999991,0,1000
76,-3406.0241250000045,0,1000
77,-3481.717875000006,0,1000
78,-2890.5467499999927,0,1000
79,-3381.3558749999947,0,1000
80,-3956.659125,0,1000
81,-3320.7457500000005,0,1000
82,-3185.534375000008,0,1000
83,-3401.8185000000103,0,1000
84,-2985.3398750000133,0,1000
85,-2684.3056250000022,0,1000
86,-2297.9833750000003,0,1000
87,-2122.405874999997,0,1000
88,-2664.0687499999917,0,1000
89,-2021.4331249999968,0,1000
90,-2508.747375000001,0,1000
91,-2909.930875000012,0,1000
92,-2638.987500000001,0,1000
93,-2262.6030000000096,0,1000
94,-2418.3325000000054,0,1000
95,-2840.697375000007,0,1000
96,-2680.093499999999,0,1000
97,-2273.552625000003,0,1000
98,-2965.155875000007,0,1000
99,-2653.8306249999964,0,1000
100,-3135.9650000000074,0,1000
101,-2529.0857500000134,0,1000
102,-2975.3426249999775,0,1000
103,-2760.519500000003,0,1000
104,-2900.2982500000103,0,1000
105,-2393.8924999999995,0,1000
106,-2362.781124999997,0,1000
107,-3055.4415,0,1000
108,-2393.2801249999957,0,1000
109,-2413.7522500000055,0,1000
110,-4002.4146249999953,0,1000
111,-2433.516749999998,0,1000
112,-2463.2686249999956,0,1000
113,-3015.4018749999955,0,1000
114,-2719.0744999999943,0,1000
115,-2493.296124999999,0,1000
116,-811.7069999999993,1,440
117,-194.15850000000017,1,127
118,-2739.461375000001,0,1000
119,-3407.292124999993,0,1000
120,-2324.03162500001,0,1000
121,-2594.493875000008,0,1000
122,-3026.2027499999963,0,1000
123,-3315.839750000008,0,1000
