episode,return,success,steps
1,-2192.488374999999,0,1000
2,-2829.773500000004,0,1000
3,-2750.5378750000095,0,1000
4,-1196.9878750000007,1,517
5,-2192.730124999994,0,1000
6,-3045.117374999991,0,1000
7,-2247.269625000001,0,1000
8,-1996.9530000000052,0,1000
9,-1036.8119999999979,1,489
10,-1205.503125000001,1,583
11,-772.1416249999988,1,417
12,-3126.9167499999908,0,1000
13,-2341.0592499999952,1,847
14,-367.5616249999996,1,295
15,-3166.736375,0,1000
16,-3507.658,1,940
17,-3862.8256249999954,0,1000
18,-3437.021999999999,0,1000
19,-3697.6057500000043,0,1000
20,-1778.3212500000047,1,936
21,-2880.328875000004,0,1000
22,-3497.5522500000084,0,1000
23,-3086.8540000000085,0,1000
24,-2915.8764999999876,0,1000
25,-2504.0065000000013,0,1000
26,-2741.131250000006,0,1000
27,-1957.4336250000006,0,1000
28,-2704.4707500000063,0,1000
29,-2333.114749999999,0,1000
30,-3365.937375000008,0,1000
31,-3039.592875000002,0,1000
32,-3091.0881250000066,0,1000
33,-3616.1196250000016,0,1000
34,-3426.618875000004,0,1000
35,-3366.110125000001,0,1000
36,-3241.132625000003,0,1000
37,-3527.4661250000013,0,1000
38,-3161.5356250000013,0,1000
39,-3276.833875000011,0,1000
40,-1952.3536249999984,0,1000
41,-2548.6636250000015,0,1000
42,-3330.757499999997,0,1000
43,-3191.5678750000093,0,1000
44,-3060.0205000000087,0,1000
45,-3080.499375000005,0,1000
46,-2859.5358750000028,0,1000
47,-2553.444000000004,0,1000
48,-2132.5073750000015,0,1000
49,-1746.1948749999979,0,1000
50,-2278.6466249999994,0,1000
51,-2995.315749999995,0,1000
52,-2969.9887500000054,0,1000
53,-2990.5048749999987,0,1000
54,-3115.414125000004,0,1000
55,-2840.203124999997,0,1000
56,-2875.8546249999904,0,1000
57,-2093.360375000001,0,1000
58,-2398.8345000000077,0,1000
59,-448.91949999999986,1,196
60,-2960.327125,0,1000
61,-2539.0546250000025,0,1000
62,-2258.6288750000003,0,1000
63,-2233.5985000000055,0,1000
64,-2850.29037500001,0,1000
65,-2688.752749999996,0,1000
66,-2579.5297500000047,0,1000
67,-2714.9165000000035,0,1000
68,-2507.8262500000064,0,1000
69,-3011.0272500000005,0,1000
70,-2122.5088749999977,0,1000
71,-2599.974000000007,0,1000
72,-1223.2522499999995,1,456
73,-1670.6982499999945,0,1000
74,-615.5383749999988,1,499
75,-297.21662499999996,1,299
76,-2465.270749999988,1,916
77,-1324.034875000005,1,789
78,-1401.5621250000017,1,605
79,-1186.483500000001,1,557
80,-428.9576249999992,1,217
81,-1331.4686250000036,1,577
82,-403.4293749999999,1,225
83,-573.194874999999,1,296
84,-2740.561624999993,0,1000
85,-1122.100624999997,1,526
86,-1519.448624999999,1,761
87,-2586.9321249999934,1,869
88,-523.196374999999,1,278
89,-2005.2258750000015,1,821
90,-1032.4352500000018,1,452
91,-1552.9152500000005,1,559
92,-843.8336250000002,1,303
93,-822.0804999999979,1,429
94,-3562.7532500000057,0,1000
95,-4018.5561249999964,0,1000
96,-1702.4738750000015,1,611
97,-1153.3992500000002,1,382
98,-2481.7567499999923,1,854
99,-1688.0248750000032,1,557
100,-2781.041124999999,0,1000
101,-1643.135499999999,1,897
102,-2885.4517499999997,0,1000
103,-1061.5375000000015,1,510
104,-1747.7001249999996,1,682
105,-2689.988999999991,1,968
106,-2429.374374999999,0,1000
107,-3661.9133749999974,0,1000
108,-3857.243624999993,0,1000
109,-3453.671249999991,0,1000
110,-4528.87075,0,1000
111,-4288.515749999996,0,1000
112,-4113.359874999996,0,1000
