episode,return,success,steps
1,-2759.823375000001,0,1000
2,-3682.328125000004,0,1000
3,-2443.9039999999936,0,1000
4,-2479.3252500000035,0,1000
5,-1863.21975,1,884
6,-2207.0373749999935,1,751
7,-1992.745124999999,1,994
8,-2654.3189999999972,0,1000
9,-2308.4717500000042,0,1000
10,-1730.3955000000035,1,746
11,-2423.787125000007,0,1000
12,-787.0003749999993,1,407
13,-2443.6441250000003,0,1000
14,-2318.6364999999937,0,1000
15,-2112.543125,0,1000
16,-1898.5360000000064,1,969
17,-2303.564375000001,0,1000
18,-2162.347250000006,0,1000
19,-2764.958874999994,0,1000
20,-2007.8038749999992,0,1000
21,-2438.96200000001,0,1000
22,-2388.664499999992,0,1000
23,-1882.7835000000046,0,1000
24,-2273.6762500000054,0,1000
25,-1541.456750000001,0,1000
26,-2087.636249999999,0,1000
27,-2333.2206249999945,0,1000
28,-2232.8696249999975,0,1000
29,-2188.476749999997,0,1000
30,-2038.0800000000013,0,1000
31,-1822.3854999999983,0,1000
32,-2218.1618750000052,0,1000
33,-2369.4692500000106,0,1000
34,-1741.58425,0,1000
35,-2579.7601250000057,0,1000
36,-2147.5757500000027,0,1000
37,-1962.2240000000004,0,1000
38,-2985.392000000008,0,1000
39,-1074.9496249999954,1,633
40,-1777.3983749999984,0,1000
41,-2403.700500000007,0,1000
42,-2434.430249999998,0,1000
43,-2283.2750000000083,0,1000
44,-2348.4785000000093,0,1000
45,-1763.207750000014,1,921
46,-2163.205749999997,0,1000
47,-1706.8832500000017,0,1000
48,-2313.882250000015,0,1000
49,-2483.4581250000024,0,1000
50,-1315.9643749999962,0,1000
51,-2193.3692499999975,0,1000
52,-1757.9391250000078,0,1000
53,-1787.429374999998,0,1000
54,-2127.9318749999948,0,1000
55,-2484.183375,0,1000
56,-2207.8040000000096,0,1000
57,-2012.5965000000097,0,1000
58,-1832.048125,0,1000
59,-1867.6326250000027,0,1000
60,-1435.6328749999975,0,1000
61,-1932.6260000000043,0,1000
62,-2077.2748750000046,0,1000
63,-1977.225625000002,0,1000
64,-318.5519999999994,1,197
65,-2022.5937500000007,0,1000
66,-2293.766125000004,0,1000
67,-1786.9121249999994,0,1000
