episode,return,success,steps
1,-5410.631000000015,0,2000
2,-6732.86374999998,0,2000
3,-6999.032624999991,0,2000
4,-7896.088874999983,0,2000
5,-5642.55975000002,0,2000
6,-5642.893500000033,0,2000
7,-5519.048624999997,0,2000
8,-3857.2571249999605,0,2000
9,-3741.213249999995,0,2000
10,-3688.486250000002,0,2000
11,-7259.193374999971,0,2000
12,-7651.462875000008,0,2000
13,-5994.763125000022,0,2000
14,-4946.264125000024,0,2000
15,-5306.984250000021,0,2000
16,-3876.9240000000527,0,2000
17,-5641.7800000000225,0,2000
18,-3962.669750000047,0,2000
19,-5550.975500000056,0,2000
20,-3867.514999999994,0,2000
21,-4576.585125000013,0,2000
22,-2937.8097500000354,0,2000
23,-4058.71550000003,0,2000
24,-3366.845000000001,0,2000
25,-5388.6727500000225,0,2000
26,-3738.5277500000047,0,2000
27,-3983.07162499998,1,1812
28,-766.8827499999996,1,387
29,-6477.397124999995,0,2000
30,-7023.840375000012,0,2000
31,-7424.836750000008,0,2000
32,-5101.990999999996,0,2000
33,-6716.5389999999925,0,2000
34,-4224.486249999976,0,2000
35,-6581.652874999974,0,2000
36,-3744.586625000035,0,2000
37,-4831.344500000019,0,2000
38,-5276.431500000006,0,2000
39,-4919.476249999993,0,2000
40,-6310.442999999926,0,2000
41,-3771.819125000041,0,2000
42,-4304.789499999936,0,2000
43,-4763.740750000004,0,2000
44,-4728.480499999972,0,2000
45,-4505.861875000024,0,2000
46,-3753.5179999999555,0,2000
47,-3869.716499999971,0,2000
48,-4699.160499999924,0,2000
49,-5314.414749999971,0,2000
50,-3970.7336249999844,0,2000
51,-3787.767624999995,0,2000
52,-5208.027249999991,0,2000
53,-4792.525499999995,0,2000
54,-3846.6451250000064,0,2000
55,-3588.5118749999974,0,2000
56,-4727.189749999995,0,2000
57,-4127.353749999962,0,2000
58,-4777.712249999991,0,2000
59,-6031.970249999986,0,2000
60,-4234.778249999948,0,2000
61,-3143.8857499999863,0,2000
62,-3227.9580000000133,0,2000
63,-3761.0781249999945,0,2000
64,-4719.529500000005,0,2000
65,-6842.90024999999,0,2000
66,-3033.833249999988,1,1537
67,-3963.599999999977,0,2000
68,-4333.166875000022,0,2000
69,-4874.181000000001,0,2000
70,-3354.1526250000256,0,2000
71,-2510.552874999998,0,2000
72,-3807.950625000009,0,2000
73,-6159.255124999979,0,2000
74,-7234.450875000001,0,2000
75,-8882.668625,0,2000
76,-9153.028124999997,0,2000
77,-4879.3317499999075,0,2000
78,-4820.2712500000125,0,2000
79,-4736.767000000028,0,2000
80,-4281.744750000001,0,2000
81,-3544.7440000000493,0,2000
82,-5490.570500000016,0,2000
83,-5254.946500000013,0,2000
84,-3152.7577500000193,0,2000
85,-4049.964125000017,0,2000
86,-4513.446249999991,0,2000
87,-4286.738625000017,0,2000
88,-3924.784875000022,0,2000
89,-3614.573624999983,1,1956
90,-4972.464749999985,0,2000
91,-4688.055124999969,0,2000
92,-5105.505374999983,0,2000
93,-4592.702624999999,0,2000
94,-3041.637000000018,0,2000
95,-5264.992124999977,0,2000
96,-2878.2800000000198,0,2000
97,-4201.6121250000215,0,2000
98,-4426.427499999993,0,2000
99,-4272.359499999997,0,2000
100,-3650.3807500000216,0,2000
101,-3748.635000000015,0,2000
