episode,return,success,steps
1,-2840.2615000000023,0,1000
2,-2193.372750000004,0,1000
3,-2368.960125,0,1000
4,-2870.1737500000086,0,1000
5,-2243.9420000000073,0,1000
6,-2268.647375000008,0,1000
7,-2077.5746249999975,0,1000
8,-2122.5633749999997,0,1000
9,-2569.1623750000085,0,1000
10,-2634.9162499999966,0,1000
11,-2559.416999999995,0,1000
12,-2372.7324999999996,0,1000
13,-2163.7478750000105,0,1000
14,-2047.451250000004,0,1000
15,-2374.1472499999995,0,1000
16,-2083.2173750000034,0,1000
17,-323.33537499999994,1,201
18,-2585.0965000000074,0,1000
19,-2042.6837500000086,0,1000
20,-2343.7870000000066,0,1000
21,-2448.8737500000043,0,1000
22,-2534.884625000007,0,1000
23,-2369.377375000006,0,1000
24,-2258.409750000005,0,1000
25,-2529.1622500000026,0,1000
26,-2362.8134999999984,0,1000
27,-2434.2240000000074,0,1000
28,-1485.491375000001,1,665
29,-2259.158875000005,0,1000
30,-2489.4985000000033,0,1000
31,-2107.7248750000003,0,1000
32,-2213.8527500000005,0,1000
33,-2198.618875000001,0,1000
34,-1971.9207500000014,0,1000
35,-1872.6015000000002,0,1000
36,-1671.0517500000065,0,1000
37,-2433.5640000000067,0,1000
38,-1921.6294999999982,0,1000
39,-2233.681000000003,0,1000
40,-2333.7671250000003,0,1000
41,-1646.8217500000003,0,1000
42,-2364.0123750000107,0,1000
43,-1892.3944999999985,0,1000
44,-1530.777624999999,0,1000
45,-1741.458,0,1000
46,-1666.8573750000035,0,1000
47,-1490.831000000004,0,1000
48,-1741.3578750000027,0,1000
49,-2218.4999999999964,0,1000
50,-1787.3161250000123,0,1000
51,-1436.3478749999992,0,1000
52,-1771.7816249999953,0,1000
53,-1761.2883750000008,0,1000
54,-2358.6118750000014,0,1000
55,-1661.475375000004,0,1000
56,-1927.4133749999983,0,1000
57,-2011.4871250000003,0,1000
58,-1831.1732500000048,0,1000
59,-1767.077125,0,1000
60,-1852.6315000000109,0,1000
61,-1857.1321249999994,0,1000
62,-1782.049250000001,0,1000
63,-1601.8310000000079,0,1000
64,-1520.8281250000045,0,1000
65,-1887.426625,0,1000
66,-1486.081000000001,0,1000
67,-1561.3752499999994,0,1000
68,-1692.1093750000023,0,1000
69,-1737.6258749999995,0,1000
70,-1630.3125000000016,0,1000
71,-1761.1543750000021,0,1000
72,-1431.7755000000027,0,1000
73,-1656.8559999999984,0,1000
74,-1862.2857500000039,0,1000
75,-1345.1216249999957,0,1000
76,-1877.4707500000038,0,1000
77,-1414.7255000000007,0,1000
78,-1316.1025000000002,0,1000
79,-1796.4148749999943,0,1000
80,-1897.1441250000041,0,1000
81,-1240.1303750000025,0,1000
82,-1546.4722499999978,0,1000
83,-1400.6862499999959,0,1000
84,-1410.9817499999986,0,1000
85,-1772.3357500000045,0,1000
86,-1462.2246250000007,0,1000
87,-1680.9791249999987,0,1000
88,-1485.8712499999986,0,1000
89,-1575.796124999994,0,1000
90,-1535.888124999999,0,1000
91,-1275.9774999999993,0,1000
