episode,return,success,steps
1,-3218.208875000022,0,2000
2,-3706.245875000006,0,2000
3,-3624.8446250000106,0,2000
4,-3877.411750000007,0,2000
5,-3914.705624999995,0,2000
6,-4221.348375000052,0,2000
7,-4849.674999999982,0,2000
8,-3474.130999999985,0,2000
9,-3834.6730000000116,0,2000
10,-2604.443250000004,0,2000
11,-3494.2750000000246,0,2000
12,-3306.287000000039,0,2000
13,-4807.692624999999,0,2000
14,-3999.0901250000143,0,2000
15,-3383.00475,0,2000
16,-2360.3706250000178,0,2000
17,-3344.0618749999917,0,2000
18,-2570.596625000028,0,2000
19,-3052.0201250000237,0,2000
20,-1863.7481249999942,0,2000
21,-1732.9283749999972,0,2000
22,-1762.5655000000006,0,2000
23,-2698.5552500000044,0,2000
24,-2104.280000000021,0,2000
25,-3403.208125000009,0,2000
26,-2275.113500000009,0,2000
27,-2603.0278750000193,0,2000
28,-2233.8260000000028,0,2000
29,-2448.9022500000156,0,2000
30,-2508.708875000018,0,2000
31,-1616.8518749999953,0,2000
32,-1546.9153750000012,0,2000
33,-2505.6972500000206,0,2000
34,-4073.197000000008,0,2000
35,-2057.089625000009,0,2000
36,-1286.4452499999986,0,2000
37,-1643.444374999994,0,2000
38,-2217.68400000001,0,2000
39,-2256.653750000003,0,2000
40,-1952.919249999999,0,2000
41,-1139.2271249999978,0,2000
42,-1575.6717499999977,0,2000
43,-2034.485750000011,0,2000
44,-2158.1523750000106,0,2000
45,-1361.5388749999934,0,2000
46,-1321.394,0,2000
47,-1576.7218749999984,0,2000
48,-1593.458500000003,0,2000
49,-1135.42925,0,2000
50,-1291.7968749999945,0,2000
51,-1277.4694999999995,0,2000
52,-1390.8018749999992,0,2000
53,-1565.7006249999897,0,2000
54,-1200.7961249999887,0,2000
55,-1432.326749999994,0,2000
56,-1894.475749999998,0,2000
57,-1293.5976249999908,0,2000
58,-1494.6248750000045,0,2000
59,-2124.5126250000226,0,2000
60,-1413.3627499999964,0,2000
61,-1107.4878749999828,0,2000
62,-960.8869999999887,0,2000
63,-1490.2663749999979,0,2000
64,-1443.6144999999972,0,2000
65,-1692.4313750000063,0,2000
66,-1336.1279999999963,0,2000
67,-1395.9776249999957,0,2000
68,-1282.0239999999928,0,2000
69,-1355.5407500000003,0,2000
70,-1659.806500000018,0,2000
71,-1786.4473750000052,0,2000
72,-1082.0977499999976,0,2000
73,-1148.7042500000018,0,2000
74,-1342.5425000000064,0,2000
75,-1208.1084999999866,0,2000
76,-1256.4384999999966,0,2000
77,-811.7064999999872,0,2000
78,-1047.0191250000007,0,2000
79,-1393.2003750000076,0,2000
80,-1216.2583749999947,0,2000
81,-1262.4922499999961,0,2000
82,-1403.9135000000124,0,2000
83,-1518.8963750000062,0,2000
84,-1033.2176249999945,0,2000
85,-1283.05587500001,0,2000
86,-1229.0913749999925,0,2000
87,-1386.3558750000027,0,2000
88,-1523.8986250000028,0,2000
89,-1147.2058749999992,0,2000
90,-1930.1198750000074,0,2000
91,-1712.257749999994,0,2000
92,-987.7686249999807,0,2000
93,-1303.8861249999904,0,2000
94,-1457.3177499999917,0,2000
95,-1256.9648749999803,0,2000
96,-1674.3614999999734,0,2000
97,-1272.4064999999691,0,2000
98,-1427.1141249999928,0,2000
99,-1323.088374999992,0,2000
100,-1352.3674999999812,0,2000
101,-1280.3893749999938,0,2000
102,-795.4556249999899,0,2000
103,-405.14599999999797,0,2000
104,-658.9001249999851,0,2000
105,-1305.6694999999988,0,2000
106,-760.6853749999924,0,2000
107,-1103.1432499999978,0,2000
108,-1595.1147499999977,0,2000
109,-1558.8636249999918,0,2000
110,-1159.6886249999911,0,2000
111,-1695.4357500000062,0,2000
112,-1742.1014999999948,0,2000
113,-1594.213750000002,0,2000
114,-1413.9871250000017,0,2000
115,-1371.0497499999922,0,2000
116,-989.5181249999948,0,2000
117,-1038.0921249999894,0,2000
118,-1048.9678749999923,0,2000
119,-1089.126374999985,0,2000
120,-803.7936249999983,0,2000
121,-938.0703749999963,0,2000
122,-850.7314999999782,0,2000
123,-932.0524999999948,0,2000
124,-934.518249999989,0,2000
125,-867.174499999996,0,2000
126,-699.9766249999963,0,2000
127,-471.4756249999994,0,2000
128,-605.9578750000002,0,2000
129,-648.309250000001,0,2000
130,-940.1127499999815,0,2000
131,-780.228499999994,0,2000
132,-1035.8641249999982,0,2000
133,-896.3398749999963,0,2000
134,-738.5647499999787,0,2000
135,-662.2131249999892,0,2000
136,-687.3154999999944,0,2000
137,-689.6163749999901,0,2000
138,-539.8686249999955,0,2000
139,-594.346499999994,0,2000
140,-789.6396249999964,0,2000
141,-642.3514999999809,0,2000
142,-509.11312499999764,0,2000
143,-409.39700000000477,0,2000
144,-443.411124999991,0,2000
145,-455.14012500000626,0,2000
146,-591.478249999998,0,2000
147,-594.7975000000076,0,2000
