episode,return,success,steps
1,-1727.2132500000034,0,1000
2,-1389.4932500000023,0,1000
3,-1752.326750000006,0,1000
4,-1941.9472500000022,0,1000
5,-2480.1383749999895,0,1000
6,-1741.805249999997,0,1000
7,-2776.3198749999888,0,1000
8,-1894.0261249999976,0,1000
9,-1973.7665000000038,0,1000
10,-1582.0217500000117,0,1000
11,-1215.5382499999905,0,1000
12,-1336.8482499999932,0,1000
13,-1637.2466250000064,0,1000
14,-1666.8987500000012,0,1000
15,-1281.5356250000011,0,1000
16,-1751.6578749999944,0,1000
17,-1073.5313749999934,0,1000
18,-2158.9967499999957,0,1000
19,-1656.8131249999974,0,1000
20,-1064.8501249999983,0,1000
21,-1615.6708749999966,0,1000
22,-989.0091249999936,0,1000
23,-1460.3286249999983,0,1000
24,-1642.0228750000058,0,1000
25,-1406.005625000005,0,1000
26,-948.3197499999947,0,1000
27,-1331.204375000005,0,1000
28,-1943.6692499999917,0,1000
29,-1163.9839999999967,0,1000
30,-1064.5838749999957,0,1000
31,-1315.268124999996,0,1000
32,-1711.683874999998,0,1000
33,-1250.574499999998,0,1000
34,-1374.6233750000008,0,1000
35,-1206.55587499999,0,1000
36,-703.453249999994,0,1000
37,-1365.7293749999972,0,1000
38,-1215.399374999999,0,1000
39,-1657.0241250000054,0,1000
40,-1264.288499999998,0,1000
41,-974.748499999992,0,1000
42,-672.3602499999952,0,1000
43,-1014.3193749999971,0,1000
44,-827.8839999999956,0,1000
45,-1756.2207499999936,0,1000
46,-733.9289999999958,0,1000
47,-722.6322499999951,0,1000
48,-1184.9324999999992,0,1000
49,-1022.9493749999948,0,1000
50,-1294.9272499999988,0,1000
51,-1239.4686249999984,0,1000
52,-1401.5892499999977,0,1000
53,-1118.615000000001,0,1000
54,-1447.761374999997,0,1000
55,-983.9829999999957,0,1000
56,-422.36624999999475,0,1000
57,-1103.3990000000006,0,1000
58,-1117.662375,0,1000
59,-537.0832499999947,0,1000
60,-782.7089999999981,0,1000
61,-1364.4074999999975,0,1000
62,-1140.7892500000025,0,1000
63,-757.8511249999963,0,1000
64,-638.0893749999974,0,1000
65,-1154.0204999999985,0,1000
66,-678.7408749999977,0,1000
67,-1073.5227499999978,0,1000
68,-994.0147499999986,0,1000
69,-631.2082499999989,0,1000
70,-1098.6901249999983,0,1000
71,-1661.4491249999978,0,1000
72,-816.3922499999994,0,1000
73,-753.8909999999976,0,1000
74,-1042.685374999999,0,1000
75,-852.9151249999986,0,1000
76,-792.1039999999985,0,1000
77,-632.2352499999978,0,1000
78,-1218.3376249999997,0,1000
79,-641.7863749999976,0,1000
80,-556.8831249999957,0,1000
81,-891.4804999999984,0,1000
82,-585.9619999999999,0,1000
83,-717.6784999999992,0,1000
84,-1017.3688749999977,0,1000
85,-480.0823749999993,0,1000
86,-1005.4373749999908,0,1000
87,-822.5224999999976,0,1000
88,-807.8123749999954,0,1000
89,-702.5412499999991,0,1000
90,-547.6093749999967,0,1000
91,-621.1656249999968,0,1000
92,-394.74399999999787,0,1000
93,-541.9598749999968,0,1000
94,-375.3389999999991,0,1000
95,-756.0721249999988,0,1000
96,-577.1569999999983,0,1000
97,-616.0893749999993,0,1000
98,-872.7341249999968,0,1000
99,-430.02812499999845,0,1000
100,-611.2753749999981,0,1000
101,-851.9367499999972,0,1000
102,-712.6073749999999,0,1000
103,-426.36824999999806,0,1000
104,-676.4441249999999,0,1000
105,-386.0181250000021,0,1000
106,-618.7244999999939,0,1000
107,-872.8188749999957,0,1000
108,-527.4937499999983,0,1000
109,-673.2538749999959,0,1000
110,-723.0719999999993,0,1000
111,-520.7672499999974,0,1000
112,-436.27099999999706,0,1000
113,-992.3829999999966,0,1000
114,-540.7366249999982,0,1000
115,-429.85762499999566,0,1000
116,-1261.8332500000001,0,1000
117,-761.5807499999955,0,1000
118,-691.7169999999975,0,1000
119,-988.4382499999954,0,1000
120,-786.9932499999971,0,1000
121,-666.7929999999997,0,1000
122,-721.4888749999957,0,1000
123,-616.8543749999978,0,1000
124,-570.8168749999968,0,1000
125,-841.6647499999984,0,1000
126,-862.8927500000007,0,1000
127,-766.1906249999982,0,1000
128,-752.1193749999992,0,1000
129,-628.7962499999977,0,1000
130,-606.9924999999945,0,1000
131,-611.6544999999986,0,1000
132,-502.3508749999944,0,1000
133,-508.066624999994,0,1000
134,-516.8439999999939,0,1000
135,-447.31412499999783,0,1000
136,-788.8191250000003,0,1000
137,-441.8421249999975,0,1000
138,-370.36512499999884,0,1000
139,-450.12837499999426,0,1000
140,-712.2271249999964,0,1000
141,-709.8423749999977,0,1000
142,-612.2376249999958,0,1000
143,-988.0977499999996,0,1000
144,-502.4183749999982,0,1000
145,-472.3199999999975,0,1000
146,-342.6202499999965,0,1000
147,-447.48612499999837,0,1000
148,-604.6029999999993,0,1000
149,-503.776999999998,0,1000
150,-955.0431249999988,0,1000
151,-665.6488749999918,0,1000
152,-574.8152499999975,0,1000
153,-279.5540000000004,0,1000
154,-1185.8208749999994,0,1000
155,-910.0632499999986,0,1000
156,-995.0156249999928,0,1000
157,-604.4677499999985,0,1000
158,-638.5619999999969,0,1000
159,-669.217874999996,0,1000
160,-779.2763750000012,0,1000
161,-704.4039999999969,0,1000
162,-458.1478749999964,0,1000
163,-875.0398749999953,0,1000
164,-904.7726249999989,0,1000
165,-925.860374999999,0,1000
166,-697.7233749999959,0,1000
167,-612.6346249999972,0,1000
168,-773.9327499999987,0,1000
169,-754.6825000000011,0,1000
170,-813.3124999999962,0,1000
171,-945.4802500000023,0,1000
172,-754.6658749999981,0,1000
173,-488.9337499999985,0,1000
174,-478.6194999999989,0,1000
175,-630.268874999999,0,1000
176,-610.7091249999982,0,1000
177,-760.7872499999992,0,1000
178,-806.9687499999993,0,1000
179,-603.2057499999983,0,1000
