episode,return,success,steps
1,-2313.664125000003,0,1000
2,-2173.5876250000006,0,1000
3,-2544.1150000000043,0,1000
4,-3075.954624999993,0,1000
5,-2062.7065000000025,0,1000
6,-2589.149125,0,1000
7,-2524.8108749999974,0,1000
8,-1244.805250000003,1,687
9,-2830.5496250000033,0,1000
10,-2545.129625000003,0,1000
11,-2398.6384999999964,0,1000
12,-2218.045374999997,0,1000
13,-876.7181250000001,1,417
14,-2032.8325000000057,0,1000
15,-2173.7153750000075,0,1000
16,-2329.1951250000097,0,1000
17,-2529.371250000008,0,1000
18,-2414.0940000000046,0,1000
19,-2238.9166250000026,0,1000
20,-2303.645750000011,0,1000
21,-2238.828624999996,0,1000
22,-2008.1181250000143,0,1000
23,-2047.5176250000095,0,1000
24,-1251.4855000000027,1,563
25,-334.0099999999996,1,177
26,-1823.0035000000107,1,936
27,-2770.3487499999965,0,1000
28,-2258.5396250000085,0,1000
29,-1571.2640000000058,0,1000
30,-3015.596500000013,0,1000
31,-367.9701249999994,1,245
32,-1917.044625000008,0,1000
33,-1877.6698749999935,0,1000
34,-2534.3375000000065,0,1000
35,-1802.356374999999,0,1000
36,-1927.4413749999965,0,1000
37,-2006.7803749999994,0,1000
38,-2384.252875000007,0,1000
39,-2383.2682500000005,0,1000
40,-2143.3126250000078,0,1000
41,-1691.3591250000006,0,1000
42,-2439.337750000003,0,1000
43,-1382.7667500000016,1,822
44,-2157.9506250000013,0,1000
45,-2298.314624999995,0,1000
46,-1787.036375,0,1000
47,-1672.4256250000005,1,996
48,-2048.3648749999993,0,1000
49,-1967.6016250000027,0,1000
50,-1635.716625000001,0,1000
51,-889.8416249999964,1,602
52,-2319.107500000009,0,1000
53,-1992.2811250000022,0,1000
54,-1529.355125000001,1,790
55,-1913.0647500000034,0,1000
56,-1432.9452499999993,1,777
57,-2559.3926250000027,0,1000
58,-1486.3180000000023,1,944
59,-1767.4802500000003,0,1000
60,-1400.5443749999995,0,1000
61,-1756.8107500000012,0,1000
62,-2057.255500000013,0,1000
63,-2002.612625000012,0,1000
64,-1576.5420000000017,0,1000
65,-1997.6812500000024,0,1000
66,-1867.3236250000014,0,1000
67,-2233.140375000005,0,1000
68,-1571.1402499999995,0,1000
69,-1902.5670000000027,0,1000
70,-1706.8851250000016,0,1000
71,-1806.6542500000023,0,1000
72,-2013.155500000002,0,1000
73,-1797.7515000000028,0,1000
74,-1541.1109999999987,0,1000
75,-1786.9146249999985,0,1000
76,-1461.4432500000023,0,1000
77,-1807.7867500000093,0,1000
78,-1506.5799999999967,0,1000
79,-1390.6480000000015,0,1000
80,-1627.0233750000089,0,1000
81,-1852.251374999997,0,1000
82,-1497.3395000000044,0,1000
83,-1531.5669999999961,0,1000
84,-2058.136999999996,0,1000
85,-1686.9228749999943,0,1000
86,-1520.6111249999979,0,1000
87,-1967.212374999995,0,1000
88,-1706.2167499999969,0,1000
89,-1776.6508750000014,0,1000
90,-1566.0756249999972,0,1000
91,-1515.3734999999951,0,1000
92,-1636.2611250000052,0,1000
93,-1837.568500000002,0,1000
94,-1330.113250000001,0,1000
95,-1254.9605,0,1000
96,-1716.544999999997,0,1000
97,-1606.8444999999967,0,1000
98,-1325.167249999999,0,1000
99,-1571.6186250000046,0,1000
100,-1506.2417499999979,0,1000
101,-1712.3221250000033,0,1000
102,-1351.393000000002,0,1000
103,-1677.0591249999989,0,1000
104,-1400.0922499999956,0,1000
105,-1015.4409999999939,0,1000
106,-1707.1220000000035,0,1000
107,-1225.4036249999972,0,1000
108,-1361.906625,0,1000
109,-1400.2691249999953,0,1000
110,-1130.3062499999958,0,1000
111,-1460.7061249999963,0,1000
112,-1220.5726249999968,0,1000
113,-1411.0734999999977,0,1000
114,-1470.4962499999979,0,1000
115,-1426.3737499999954,0,1000
116,-1822.26075,0,1000
117,-1159.7454999999925,0,1000
118,-1480.8636249999965,0,1000
119,-1496.7231249999957,0,1000
120,-1215.0422499999963,0,1000
121,-1480.9749999999956,0,1000
122,-1360.851624999997,0,1000
123,-1135.066999999996,0,1000
124,-1134.495499999997,0,1000
125,-1295.6421249999973,0,1000
126,-1190.7631249999965,0,1000
