episode,return,success,steps
1,-1265.8113750000027,0,1000
2,-1515.8357500000022,0,1000
3,-1486.5341249999974,0,1000
4,-1250.0751250000058,0,1000
5,-1802.0898749999985,0,1000
6,-1420.963499999998,0,1000
7,-620.9602499999988,1,473
8,-1381.2319999999988,0,1000
9,-1757.2951249999999,0,1000
10,-1095.2524999999969,0,1000
11,-1240.2238750000006,0,1000
12,-839.2086249999974,1,656
13,-1190.7776249999984,0,1000
14,-1104.9733749999968,0,1000
15,-1592.1140000000087,0,1000
16,-1085.3191249999954,0,1000
17,-975.3698749999917,0,1000
18,-1622.684375,0,1000
19,-1240.8059999999982,0,1000
20,-1279.8957500000006,0,1000
21,-1104.7166249999964,0,1000
22,-1020.1613749999948,0,1000
23,-1221.2817499999965,0,1000
24,-1246.0368749999986,0,1000
25,-1356.1593750000056,0,1000
26,-1195.5933749999974,0,1000
27,-1025.0731249999958,0,1000
28,-1155.5432499999931,0,1000
29,-1080.1274999999957,0,1000
30,-1200.9136249999988,0,1000
31,-1190.2416249999972,0,1000
32,-1049.806249999996,0,1000
33,-968.8414999999959,0,1000
34,-939.5442499999934,0,1000
35,-1186.0912499999986,0,1000
36,-1190.0396249999967,0,1000
37,-1099.7579999999964,0,1000
38,-336.22162499999956,1,375
39,-1170.3757499999995,0,1000
40,-1053.6864999999973,0,1000
41,-964.5661249999946,0,1000
42,-919.3253749999975,0,1000
43,-1220.122875,0,1000
44,-979.3153749999968,0,1000
45,-944.8288749999938,0,1000
46,-1119.3929999999964,0,1000
47,-848.8438749999948,0,1000
48,-1094.609999999995,0,1000
49,-1069.261624999997,0,1000
50,-1033.6694999999986,0,1000
51,-1274.8437499999975,0,1000
52,-1049.2736249999944,0,1000
53,-974.5879999999994,0,1000
54,-1109.5468749999964,0,1000
55,-969.3494999999955,0,1000
56,-1205.3962499999982,0,1000
57,-777.8607499999971,0,1000
58,-1280.3460000000025,0,1000
59,-864.1164999999946,0,1000
60,-495.2211249999998,1,458
61,-1079.9299999999967,0,1000
62,-868.5096249999978,0,1000
63,-1210.086124999996,0,1000
64,-933.7712499999974,0,1000
65,-1009.0021249999975,0,1000
66,-1009.2918749999951,0,1000
67,-854.7718749999963,0,1000
68,-858.5153749999956,0,1000
69,-949.9778749999978,0,1000
70,-1015.1917499999963,0,1000
71,-984.3072499999971,0,1000
72,-937.3924999999987,0,1000
73,-918.4259999999983,0,1000
74,-1105.6937500000076,0,1000
75,-1104.9022499999965,0,1000
76,-999.0650000000028,0,1000
77,-1069.4364999999977,0,1000
78,-737.4218750000009,1,720
79,-1104.6098750000008,0,1000
80,-1148.3367499999983,0,1000
81,-122.7566250000001,1,211
82,-527.3653749999985,1,695
83,-954.0866249999972,0,1000
84,-806.1961249999961,1,824
85,-519.7336249999976,1,542
86,-582.8034999999988,1,676
87,-483.9977499999983,1,525
88,-647.2926249999979,1,734
89,-192.26712499999985,1,271
90,-241.89337500000022,1,315
91,-332.74587499999984,1,256
92,-748.1648749999965,1,740
93,-586.0068750000016,1,475
94,-927.4229999999923,1,806
95,20.753499999999917,1,71
96,-187.0077500000006,1,301
97,-270.90049999999906,1,380
98,-162.46425000000028,1,221
99,-1036.5311249999972,1,882
100,-436.43262500000003,1,429
101,-415.56587499999944,1,413
102,-117.72212500000006,1,211
103,-599.8067499999978,1,586
104,-18.715500000000134,1,115
105,-122.99000000000035,1,232
106,-361.98262499999936,1,354
107,-286.7742499999999,1,321
108,-620.7641249999969,1,524
109,-477.06262499999866,1,393
110,-679.7362499999981,1,729
111,-748.3818749999963,1,762
112,-1077.1018749999957,1,991
113,-451.690499999998,1,410
114,-147.44262500000002,1,220
115,-62.76925000000031,1,215
116,-273.3419999999988,1,236
117,-73.27725000000007,1,158
118,-976.7607499999954,1,953
119,-183.51287499999995,1,169
120,-804.4052499999966,1,653
121,-758.9139999999969,1,671
122,-515.4053749999979,1,523
123,-202.08012500000018,1,298
124,-182.38637500000004,1,268
125,-312.0098749999993,1,344
126,-375.4312499999998,1,463
127,-82.81412499999999,1,183
128,-347.3946249999998,1,334
129,-207.43824999999964,1,265
