episode,return,success
1,-145.4826250000009,1
2,-2361.100125,0
3,-2551.786374999989,0
4,-2405.8191250000054,0
5,-2251.848125,0
6,-2426.2523749999964,0
7,-2263.691124999999,0
8,-2324.1286250000007,0
9,-2251.9140000000057,0
10,-1862.492374999996,0
11,-2233.685500000006,0
12,-2342.827250000005,0
13,-1990.076749999998,0
14,-1958.5042499999986,0
15,-1265.6650000000025,1
16,-2157.9184999999984,0
17,-2088.1482500000016,0
18,-1757.5373749999992,1
19,-1949.8279999999968,1
20,-2650.331875000004,0
21,-2578.812250000007,0
22,-1779.2831249999995,1
23,-2319.817875000002,0
24,-2144.937875,0
25,-1763.296125000009,1
26,-2475.2423750000053,0
27,-2296.8913749999997,0
28,-2374.325000000002,0
29,-2268.9413750000012,0
30,-2411.3018750000006,0
31,-2209.336500000003,0
32,-1954.3785000000037,0
33,-1905.749999999997,0
34,-1915.0455000000018,1
35,-2057.139750000002,0
36,-1974.4317499999972,0
37,-1998.4061250000057,0
38,-2372.411750000001,0
39,-1906.9255000000085,0
40,-1994.8583749999918,0
41,-1857.2967500000004,0
42,-1790.414124999995,0
43,-2203.279750000005,0
44,-2064.9101249999985,0
45,-1755.9557500000033,0
46,-1864.8673750000085,0
47,-2038.8935000000013,0
48,-1716.3677499999949,0
49,-1094.3593750000007,1
50,-2126.526374999998,0
51,-2229.0093749999937,0
52,-2186.3450000000007,0
53,-1672.887999999998,0
54,-1894.3370000000025,0
55,-1373.8701250000017,1
56,-1868.7791250000007,0
57,-2033.8694999999936,0
58,-513.1628749999974,1
59,-2134.7786249999995,0
60,-1538.7431249999956,0
61,847.9035000000005,1
62,-1691.9008749999996,0
63,-1788.7158750000026,0
64,-478.93537499999866,1
65,-491.8262499999971,1
66,-1093.185999999997,0
67,-1124.781874999998,0
68,-1726.1885000000016,0
69,-1829.1337500000022,1
70,-733.5170000000002,1
71,-560.0108749999999,1
72,-548.6142499999992,1
73,-1619.0203750000012,0
74,-1880.0737499999982,0
75,-1578.7033750000019,0
76,-1625.4348749999986,0
77,-1978.133749999998,0
78,-322.28037499999914,1
79,-1704.1207500000005,0
80,-236.91049999999962,1
81,-1289.0899999999986,0
82,-1721.162125000005,0
83,-83.28199999999856,1
84,-1177.3273750000008,1
85,-1136.1348749999995,1
86,-1581.611875000002,0
87,-1467.0497500000035,1
88,-619.6153749999992,1
89,-2.4543749999998568,1
90,-881.1239999999976,1
91,-1890.9213749999974,0
92,-353.0003749999994,1
93,-366.2017499999989,1
94,-161.3273750000002,1
95,-320.84124999999557,0
96,-1651.6660000000054,0
97,399.80175000000014,1
98,-814.3911249999961,0
99,95.24762500000045,1
100,-682.768625,1
