episode,return,success,steps
1,-1421.1512499999965,0,1000
2,26.33250000000001,1,186
3,-1857.7482499999949,0,1000
4,-2674.9839999999986,0,1000
5,-1643.1576249999973,0,1000
6,-2405.066124999995,0,1000
7,-1823.3262499999923,0,1000
8,-1415.6913750000017,1,851
9,-1178.9534999999921,0,1000
10,-2245.4799999999905,0,1000
11,-1192.3329999999962,0,1000
12,-2667.7904999999996,0,1000
13,-1144.087125000001,0,1000
14,-2356.300624999998,0,1000
15,-1982.3428749999996,0,1000
16,-1961.7386250000004,0,1000
17,-1670.8405,0,1000
18,-2155.2062500000006,0,1000
19,-2182.930375000002,0,1000
20,-1622.9189999999946,0,1000
21,-560.2356250000008,1,788
22,-2335.972499999996,0,1000
23,-286.07449999999994,1,380
24,-561.0628750000002,1,424
25,-1857.861875,0,1000
26,-1095.9365000000003,0,1000
27,-2224.3838749999986,0,1000
28,-1856.9704999999844,0,1000
29,-1622.19499999999,0,1000
30,-1676.9942499999934,0,1000
31,-1243.5629999999999,1,847
32,-1705.7952499999994,0,1000
33,-1656.8903749999902,0,1000
34,-1650.4571250000063,0,1000
35,-359.20750000000106,1,623
36,-1677.942249999995,0,1000
37,-1532.0316249999971,0,1000
38,-2363.7099999999923,0,1000
39,-876.8551249999997,1,350
40,-1905.7062499999988,0,1000
41,-1830.1431249999957,0,1000
42,-1541.7364999999966,1,836
43,-2210.574375,0,1000
44,-1615.3528749999978,0,1000
45,-2051.66975,0,1000
46,-1484.028625000006,0,1000
47,-1978.6707499999934,1,987
48,-1962.3154999999954,0,1000
49,-1608.6517499999964,0,1000
50,-1470.1503749999931,0,1000
51,-1587.175250000004,0,1000
52,-1504.5654999999956,0,1000
53,-1635.8971249999975,0,1000
54,-1276.2122499999948,0,1000
55,-2086.011875000006,0,1000
56,-840.1229999999994,1,614
57,-716.8308749999971,1,462
58,-2196.9224999999947,0,1000
59,-2653.919499999996,0,1000
60,-941.1148749999991,1,781
61,-170.2361250000004,1,253
62,-254.8511249999999,1,209
63,-1317.7233749999991,0,1000
64,-1310.5186249999977,0,1000
65,-2550.181125000005,0,1000
66,-2412.13512500001,0,1000
67,-1331.316875,0,1000
68,-2730.6278750000015,0,1000
69,-293.85050000000007,1,311
70,-315.2969999999995,1,318
71,-2148.13675,0,1000
72,-1733.0851250000035,0,1000
73,-2211.0568749999916,0,1000
74,-467.302,1,419
75,-2965.360749999991,0,1000
76,-336.9962500000004,1,339
77,-1546.4068750000051,0,1000
78,-2737.2713749999953,0,1000
79,-2363.508999999996,0,1000
80,-2210.618874999996,0,1000
81,-1572.9596250000059,0,1000
82,-2336.2836250000028,0,1000
83,-2010.4979999999948,0,1000
84,-1297.1287499999967,0,1000
85,-2217.4729999999954,0,1000
86,-1553.1243750000058,0,1000
87,-1912.4657499999996,0,1000
88,-561.6562499999987,0,1000
89,-1650.0351250000022,0,1000
90,-2529.5655000000015,0,1000
91,-978.8992499999968,1,765
92,-1407.6482500000006,0,1000
93,-158.1362500000003,1,162
94,-1733.115249999999,0,1000
95,-1359.6865000000005,0,1000
96,-1670.3938749999995,0,1000
97,-1795.080499999998,0,1000
98,-2141.5337500000005,0,1000
99,-797.1162500000016,1,647
100,-397.06737499999963,1,470
101,-867.2563750000061,0,1000
102,-1282.6559999999934,0,1000
103,-258.72874999999954,1,315
104,-1340.3191249999904,1,757
105,-1858.0158749999973,0,1000
106,-2391.2131249999934,0,1000
107,-2439.6907499999984,0,1000
108,-2377.5436250000057,0,1000
109,-569.2237500000009,1,366
110,-1352.2962500000074,0,1000
111,-1768.2992499999982,0,1000
112,-2176.2652499999945,0,1000
113,-153.85149999999996,1,175
114,-1940.7127499999958,0,1000
115,-2501.8893750000007,0,1000
116,-2127.6281249999956,0,1000
117,-1075.4722500000003,0,1000
118,-2217.384124999999,0,1000
119,-2342.9932499999986,0,1000
120,-1677.6581249999988,0,1000
121,-2412.4249999999934,0,1000
122,-2135.0539999999964,0,1000
123,-2176.288000000002,0,1000
124,-184.96499999999986,1,202
125,-2147.3552499999983,1,982
126,-476.7493750000008,1,486
127,-2384.569499999998,0,1000
128,-919.0691249999963,1,605
129,-2224.7676249999986,0,1000
130,-2093.267374999995,0,1000
131,-1961.945624999999,0,1000
132,-1539.4386250000016,0,1000
133,-1982.5456249999993,0,1000
134,-2674.8303749999995,0,1000
135,-1111.6826249999954,1,725
136,-860.5152499999995,1,805
137,-1441.3441249999958,0,1000
138,-1711.8547500000022,0,1000
139,-1351.4457499999953,1,708
140,-1331.4157499999967,0,1000
141,-1485.2624999999937,1,725
142,-629.0756250000003,1,677
143,-2107.277500000004,0,1000
144,-1968.1882499999988,0,1000
145,-780.1390000000015,1,865
146,-2606.0853749999997,0,1000
147,-457.59112500000094,1,521
148,-1768.067749999994,0,1000
149,-2093.5568749999943,0,1000
150,-1032.5947500000002,1,539
151,-1726.145749999994,0,1000
152,-2377.2071249999954,0,1000
153,-2107.6236249999934,0,1000
154,-373.7568749999993,1,374
155,-1068.3038750000007,0,1000
156,-799.2901249999971,1,412
157,-1760.4297499999996,0,1000
158,-2272.986374999999,0,1000
159,-2522.1243749999976,0,1000
160,-1941.3109999999936,0,1000
161,-1718.831625000002,0,1000
162,-1152.5847499999998,0,1000
163,-1621.6640000000011,0,1000
164,-2751.0152499999986,0,1000
165,-2211.270624999996,0,1000
166,-1496.9358749999992,0,1000
167,-1982.7818750000001,0,1000
168,-1767.6772499999988,0,1000
169,-832.8627500000008,0,1000
170,-1220.0423749999993,0,1000
171,-1068.195875000001,0,1000
172,-2667.9301250000026,0,1000
173,-1967.996625000002,0,1000
174,-1955.3151249999985,0,1000
175,-277.2702499999992,1,363
176,-2938.318375000006,0,1000
177,-1871.7514999999955,0,1000
178,-2058.9862499999995,0,1000
179,-2217.689749999999,0,1000
180,-830.1632500000023,1,630
181,-2072.4954999999936,0,1000
182,-2107.1778749999953,0,1000
183,-2417.788750000001,0,1000
184,-1781.5636249999995,0,1000
185,-529.7333749999987,1,473
186,-2085.7360000000003,0,1000
187,-1532.3837499999922,1,981
188,-2024.081374999997,0,1000
189,-1788.418999999993,0,1000
190,-2176.1635000000033,0,1000
191,-1809.476124999997,0,1000
192,-915.4183749999979,1,841
193,-2293.832999999996,0,1000
194,-1498.1038749999989,0,1000
195,-2446.4101249999917,0,1000
196,-1009.1742499999962,1,814
197,-1476.5943750000008,0,1000
198,-519.6337499999995,1,568
199,-1858.0659999999953,0,1000
200,-1213.743375000001,0,1000
201,-1150.706375000006,0,1000
202,-1975.7621249999995,0,1000
203,-2086.4732499999964,0,1000
204,-2758.324999999995,0,1000
205,-1900.1572499999934,0,1000
206,-1144.490875000001,0,1000
207,-1677.4504999999976,1,762
208,-1518.5090000000027,0,1000
209,-1138.406500000001,0,1000
210,-1926.5606249999921,0,1000
211,-996.9641249999993,1,849
212,-2169.689749999996,0,1000
213,-2121.0434999999975,0,1000
214,-2785.475500000007,0,1000
215,-1822.7999999999972,0,1000
216,-943.1887499999978,1,942
217,-640.9553749999985,1,815
218,-1982.1832499999914,0,1000
219,-1127.512749999999,1,731
220,-1518.0873750000007,0,1000
221,-1331.4013750000022,0,1000
222,-1306.7790000000005,1,965
223,-1754.567124999998,0,1000
224,50.28437499999997,1,112
225,-853.3998749999987,0,1000
226,-2079.0376249999963,0,1000
227,-2107.360124999991,0,1000
228,-2487.9955000000014,0,1000
229,-1954.895374999993,0,1000
230,-1725.9158750000006,0,1000
231,-1747.1888749999966,0,1000
232,-381.62762500000025,1,294
233,-1088.6118749999957,0,1000
234,-1088.5174999999995,0,1000
235,-1788.553750000003,0,1000
236,-1225.0834999999956,1,828
237,-2149.724249999999,0,1000
238,-2010.0168749999987,0,1000
239,-2314.7072499999917,0,1000
240,-2162.302874999996,0,1000
241,-1836.5116249999946,0,1000
242,-1138.014875000002,0,1000
243,-1532.2027499999963,0,1000
244,-609.5678750000008,1,622
245,-2300.879124999997,0,1000
246,-1767.2397499999954,1,924
247,-1691.8304999999962,0,1000
248,-359.574875,1,496
249,-1725.50499999999,0,1000
250,-2023.8105000000023,0,1000
251,-1005.425874999997,1,931
252,-1255.1068750000024,0,1000
253,-1995.7639999999972,0,1000
254,-2002.7911249999952,0,1000
255,-2238.6943749999973,0,1000
256,-1559.622500000002,0,1000
257,-1456.0518750000006,0,1000
258,-2093.665124999999,0,1000
259,-1601.7411250000011,0,1000
260,-1510.541125000002,0,1000
261,-1110.124499999999,0,1000
262,-1961.7271250000013,0,1000
263,-1456.8757499999963,0,1000
264,-2114.5602499999977,0,1000
265,-1435.154500000004,0,1000
266,-81.93512500000003,1,126
267,-1746.716749999997,0,1000
268,-1781.724749999999,0,1000
269,-1664.0027499999994,0,1000
270,-1766.458374999992,0,1000
271,-2550.2171250000006,0,1000
272,-1490.393374999995,0,1000
273,-1219.9891250000028,0,1000
274,-2079.8991249999995,0,1000
275,-2224.236124999997,0,1000
276,-1556.6858750000001,1,810
277,-1608.8173750000003,0,1000
278,-2100.1314999999945,0,1000
279,-1959.9592499999908,0,1000
280,-2820.758625,0,1000
281,-1821.8957499999947,1,957
282,-1842.9897499999952,0,1000
283,-724.4982500000009,1,422
284,-2149.2837499999973,0,1000
285,-1220.52475,0,1000
286,-2197.456250000007,0,1000
287,-2439.3968750000013,0,1000
288,-1107.4511249999894,1,896
289,-2411.6097500000037,0,1000
290,-611.31775,1,621
291,-954.2428749999963,1,479
292,-1435.806249999997,0,1000
293,-1573.0837499999998,0,1000
294,-1961.1183750000014,0,1000
295,-1207.5683749999955,1,707
296,-1615.0322499999986,0,1000
297,-2189.8499999999954,0,1000
298,-1240.6691249999894,0,1000
299,-1726.1124999999981,0,1000
300,-2051.8205000000016,0,1000
301,-1690.474000000001,0,1000
302,-244.67162499999966,1,351
303,-624.748875000002,0,1000
304,-2307.785749999997,0,1000
305,-1406.6626249999924,0,1000
306,-1366.0368750000032,0,1000
307,-1255.441124999989,0,1000
308,-1469.4859999999924,0,1000
309,-2141.865874999997,0,1000
310,-1961.9068749999988,0,1000
311,-2356.502374999994,0,1000
312,-1261.7065000000032,0,1000
313,-762.6786250000002,1,550
314,-1787.6349999999984,0,1000
315,-770.2867499999958,1,391
316,-1254.7919999999965,0,1000
317,-1774.3491250000045,0,1000
318,-2737.654624999996,0,1000
319,-2142.0586250000047,0,1000
320,-2218.1328750000007,0,1000
321,-2675.1766249999946,0,1000
322,-2474.167250000002,0,1000
323,-1254.6757499999972,0,1000
324,-1324.2219999999984,0,1000
325,-2037.6951249999938,0,1000
326,-1081.7093750000029,0,1000
327,-488.2647499999998,1,379
328,-1199.615249999998,0,1000
329,-1476.4483750000063,0,1000
330,-1286.8451249999973,1,742
331,-1865.185374999993,0,1000
332,-1836.3541249999994,0,1000
333,-2702.9057500000013,0,1000
334,-2002.900499999995,0,1000
335,-1497.6431249999973,0,1000
336,-1754.0598750000006,0,1000
337,-1940.5242499999956,0,1000
338,-963.5997500000016,0,1000
339,-1740.0086249999997,0,1000
340,-361.3102499999997,1,575
341,-2384.1277500000006,0,1000
342,-1802.6919999999939,0,1000
343,-1678.294374999996,1,794
344,-1269.104249999998,0,1000
345,-850.1150000000018,1,965
346,-1020.2628749999956,0,1000
347,-1269.1206250000032,0,1000
348,-1864.875249999998,0,1000
349,-1809.1613750000017,0,1000
350,-409.5428750000002,1,557
351,-2502.3874999999975,0,1000
352,-931.0389999999979,1,545
353,-1788.0905000000014,0,1000
354,-1469.6905,0,1000
355,-834.9638750000009,1,469
356,-2086.6054999999974,0,1000
357,-509.57199999999864,1,440
358,-2259.8159999999953,0,1000
359,-1704.8808750000014,0,1000
360,-2321.767375,0,1000
361,-2238.8581249999975,0,1000
362,-2397.986999999996,0,1000
363,-1795.3046249999975,0,1000
364,-1851.1099999999954,0,1000
365,-2473.9348750000026,0,1000
366,-1545.7292499999967,0,1000
367,-2446.593999999999,0,1000
368,-1379.4651250000024,0,1000
369,-1795.9493749999924,0,1000
370,-1718.9857499999969,0,1000
371,-1891.9706249999826,0,1000
372,-1275.7223749999994,0,1000
373,-2072.4746249999966,0,1000
374,-376.73362500000025,1,268
375,-2078.8724999999945,0,1000
376,-1601.509,0,1000
377,-740.1610000000011,1,547
378,-528.0125000000005,1,265
379,-2058.315999999995,0,1000
380,-1726.1831249999905,0,1000
381,-1782.1398749999987,0,1000
382,-1031.5948750000002,1,644
383,-1393.5328749999971,0,1000
384,-1126.2076250000005,1,667
385,-1095.3522499999988,0,1000
386,-2141.6357499999967,0,1000
387,-2390.6042499999985,0,1000
388,-1553.239499999996,0,1000
389,-1490.147624999997,0,1000
390,-1518.6126249999977,0,1000
391,-1351.7949999999944,0,1000
392,-2910.797124999994,0,1000
393,-1477.0181249999955,0,1000
394,-1441.6397499999916,0,1000
395,-1393.66,0,1000
396,-1581.398624999996,0,1000
397,-2391.422124999996,0,1000
398,-1477.2546249999968,0,1000
399,-1560.135499999996,0,1000
400,-2508.890749999996,0,1000
401,-2557.239250000002,0,1000
402,-1058.0174999999974,1,702
403,-1745.5115000000021,0,1000
404,-2425.7213749999974,0,1000
405,-360.5490000000007,1,521
406,-2141.977499999999,0,1000
407,-1566.6353749999998,0,1000
408,-1032.7551249999992,1,687
409,-1933.7963749999992,0,1000
410,-2265.6442499999957,0,1000
411,-1504.1872500000015,0,1000
412,-1453.7983749999999,1,943
413,-1685.038499999997,0,1000
414,-2356.2547500000032,0,1000
415,-2142.0114999999996,0,1000
416,-1843.70175,0,1000
417,-1615.5485000000033,0,1000
418,-2903.35075,0,1000
419,-1322.8909999999946,1,831
420,-1504.5009999999959,0,1000
421,-1907.0522499999895,0,1000
422,-2564.200749999996,0,1000
423,-1137.8512499999963,0,1000
424,-1352.5970000000013,1,909
425,-2903.357125,0,1000
426,-119.89800000000034,1,470
427,-1255.129124999997,0,1000
428,-1497.266249999992,0,1000
429,-1906.4451249999988,0,1000
430,-2937.5771249999993,0,1000
431,-2439.4421250000105,0,1000
432,-1004.057624999999,1,914
433,-460.2679999999996,1,390
434,-2294.42400000001,0,1000
435,-2044.9868749999985,0,1000
436,-1345.167000000002,0,1000
437,-1441.6429999999903,1,848
438,-1372.9275000000011,0,1000
439,-1373.4134999999978,0,1000
440,-1269.0342499999983,0,1000
441,-769.4613750000004,0,1000
442,-878.1058749999995,1,623
443,-1517.6638749999984,0,1000
444,-1947.682625,0,1000
445,-1351.7514999999933,0,1000
446,-1948.2851249999983,0,1000
447,-1574.600499999991,0,1000
448,-1507.3921249999992,1,962
449,-1781.3099999999938,0,1000
450,-1705.4958750000026,0,1000
451,-3408.7687499999984,0,1000
452,-2356.2991249999923,0,1000
453,-1373.166249999998,0,1000
454,-2003.0341250000001,0,1000
455,-2051.208874999998,0,1000
456,-1684.3016249999998,0,1000
457,-2093.0295,0,1000
458,-2350.1948749999938,0,1000
459,-1518.4208750000007,0,1000
460,-410.5933749999999,1,290
461,-1615.8018749999974,0,1000
462,-1365.7396249999913,0,1000
463,-1969.0438749999935,0,1000
464,-1269.0654999999945,0,1000
465,-1241.8603749999975,0,1000
466,-1912.9842499999977,0,1000
467,-1691.816499999999,0,1000
468,-2349.176249999996,0,1000
469,-1587.698124999997,0,1000
470,-2841.0538749999846,0,1000
471,-1221.1577500000017,0,1000
472,-2481.0593749999985,0,1000
473,-2653.9210000000026,0,1000
474,-1195.4229999999957,1,746
475,-2058.8146249999995,0,1000
476,-1017.2888750000004,1,741
477,-2210.9312499999974,0,1000
478,-1982.9508749999954,0,1000
479,-1982.1389999999965,0,1000
480,-1267.9022499999912,1,974
481,-1324.953874999999,0,1000
482,-2217.762750000001,0,1000
483,-1117.78975,0,1000
484,-1587.2863749999976,0,1000
485,-1670.8608749999948,0,1000
486,-1560.014375000005,0,1000
487,-785.619124999999,1,599
488,-1705.2055000000012,0,1000
489,-2411.802374999997,0,1000
490,-153.7931250000003,1,193
491,-479.97275000000025,1,488
492,-1919.1084999999928,0,1000
493,-1448.4146250000058,0,1000
494,-1851.1533749999967,0,1000
495,-1899.6304999999923,0,1000
496,-753.1571249999989,1,972
497,-2646.8458750000013,0,1000
498,-2578.7718750000017,0,1000
499,-1186.4202499999965,0,1000
500,-839.7712499999965,0,1000
501,-2072.0318749999924,0,1000
502,-1706.1572499999988,0,1000
503,-1331.4407499999966,0,1000
504,-638.3672500000041,0,1000
505,-1233.289625000002,0,1000
506,-3290.7419999999984,0,1000
507,-2086.8434999999963,0,1000
508,-1760.441375,0,1000
509,-1746.937500000002,0,1000
510,-2812.530250000003,0,1000
511,-1871.8933749999937,0,1000
512,-2085.8094999999958,0,1000
513,-1054.437625000001,0,1000
514,-103.8020000000001,1,165
515,-1913.0123749999998,0,1000
516,-2383.8841250000028,0,1000
517,-2806.038000000004,0,1000
518,-1368.4158749999926,1,681
519,-924.7479999999955,1,703
520,-1262.1632500000014,0,1000
521,-1677.1927499999933,0,1000
522,-167.01087500000062,1,323
523,-426.631,1,368
524,-1373.510624999997,0,1000
525,-1538.9891250000003,0,1000
526,-1136.7692499999991,1,492
527,-1748.4632499999996,1,991
528,-1491.0287499999947,0,1000
529,-547.5711250000012,1,424
530,-75.15687500000067,1,349
531,-2515.805874999994,0,1000
532,-2571.088375000001,0,1000
533,-1615.782125,0,1000
534,-1483.3157499999993,0,1000
535,-1504.6808750000037,0,1000
536,-1912.737875000002,0,1000
537,-2252.5069999999982,0,1000
538,-2487.4966250000007,0,1000
539,-1477.2911249999945,0,1000
540,-1754.1832499999991,0,1000
541,-856.8983750000012,1,544
542,-2432.740124999993,0,1000
543,-1919.9866249999964,0,1000
544,-1366.5226249999967,0,1000
545,-1441.9253749999982,0,1000
546,-1636.3799999999987,0,1000
547,-1532.340750000001,0,1000
548,-1601.7547500000026,0,1000
