episode,return,success
1,-2239.230750000005,0
2,-2159.473875000001,0
3,-2280.56325,0
4,-2665.7557500000053,0
5,-2565.502749999995,0
6,-2642.788499999999,0
7,-2764.9331250000114,0
8,-2404.29775,0
9,-2565.047749999998,0
10,-2553.550375000007,0
11,-2813.291875000006,0
12,-2718.063000000006,0
13,-2290.3864999999964,0
14,-2628.0738750000046,0
15,-2308.823625000003,0
16,-2416.9872500000038,0
17,-1918.713374999997,0
18,-2726.0947499999943,0
19,-2743.2654999999963,0
20,-2479.2101250000032,0
21,-2381.3974999999996,0
22,-2755.0418749999985,0
23,-2504.575999999998,0
24,-2366.389875000003,0
25,-2729.2651250000044,0
26,-2310.4698750000007,0
27,-2552.3165000000113,0
28,-2280.148624999997,0
29,-2936.6676250000096,0
30,-2716.909500000007,0
31,-2410.835249999997,0
32,-2324.574250000005,0
33,-2797.211500000002,0
34,-2262.8392500000064,0
35,-2874.184750000001,0
36,-2350.759749999998,0
37,-2434.2666250000048,0
38,-2666.4560000000038,0
39,-2717.3941250000084,0
40,-2302.7723749999996,0
41,-2633.8727500000045,0
42,-3101.690124999993,0
43,-2358.699749999995,0
44,-2994.8014999999837,0
45,-2424.649374999997,0
46,-2253.6995000000056,0
47,-3018.949250000003,0
48,-2777.274749999998,0
49,-2421.0326250000016,0
50,-2573.1953749999934,0
51,-2528.23012500001,0
52,-2862.531875000008,0
53,-2410.7041249999993,0
54,-2651.5997500000017,0
55,-2230.5225000000046,0
56,-2660.064374999998,0
57,-2542.8166250000027,0
58,-2368.9593750000076,0
59,-2583.0030000000106,0
60,-2796.8278750000045,0
61,-2685.797750000008,0
62,-3103.8778750000047,0
63,-2534.251000000006,0
64,-2635.8779999999947,0
65,-2618.86137500001,0
66,-2823.9366249999985,0
67,-2937.9029999999993,0
68,-2824.941124999999,0
69,-2388.728125000001,0
70,-2747.6378750000003,0
71,-2777.210625000005,0
72,-2510.7997500000106,0
73,-2481.6048750000095,0
74,-2676.7696250000085,0
75,-2744.4237500000017,0
76,-2712.437624999997,0
77,-2459.0778749999963,0
78,-2383.104375000007,0
79,-3243.6381250000013,0
80,-2325.9490000000033,0
81,-2095.851499999999,0
82,-2619.9998749999936,0
83,-2121.4538749999983,0
84,-2764.002749999999,0
85,-2907.3807500000016,0
86,-2600.9291249999997,0
87,-2522.173125000003,0
88,-2321.561875000005,0
89,-2637.9443750000046,0
90,-2908.156125000002,0
91,-3059.526250000008,0
92,-2270.152875000001,0
93,-2189.4692500000006,0
94,-2432.4372500000018,0
95,-2819.2387500000027,0
96,-2451.2983750000067,0
97,-2933.8078749999977,0
98,-2775.296500000005,0
99,-3035.643000000007,0
100,-2418.2933750000007,0
101,-2130.6804999999977,0
102,-2614.489875000004,0
103,-2456.7037500000024,0
104,-2805.2055000000064,0
105,-2418.9782499999974,0
106,-2204.759749999998,0
107,-2626.6846250000035,0
108,-3004.1719999999973,0
109,-2484.192749999998,0
110,-2587.6488750000035,0
111,-2603.632125000003,0
112,-2715.0303750000053,0
113,-2309.8010000000027,0
114,-2400.6690000000035,0
115,-2708.83975,0
116,-2576.2058750000083,0
117,-2636.7738750000076,0
118,-2471.6194999999957,0
119,-2525.4323750000012,0
120,-2008.3029999999965,0
121,-2598.8993749999886,0
122,-2621.2711250000057,0
123,-2305.938874999997,0
124,-2296.5916250000014,0
125,-2819.2768750000005,0
126,-2674.1220000000058,0
127,-2434.056374999999,0
128,-2327.296375000005,0
129,-2430.631125000004,0
130,-2929.6776250000025,0
131,-2425.7371250000047,0
132,-2527.00475,0
133,-2492.8106250000023,0
134,-3123.2481250000087,0
135,-2764.802749999998,0
136,-2060.6954999999994,0
137,-2362.7581250000057,0
138,-2318.6319999999996,0
139,-2465.609250000004,0
140,-2754.0719999999988,0
141,-2691.026249999999,0
142,-2378.3259999999996,0
143,-2255.9753750000036,0
