episode,return,success,steps
1,-2009.585031249999,0,600
2,-1674.7634999999993,0,600
3,-1784.619937500001,0,600
4,-1752.3328125000035,0,600
5,-1619.092875000002,0,600
6,-1823.5372500000049,0,600
7,-1417.1527499999997,0,600
8,-1651.8711249999992,0,600
9,-1694.565374999997,0,600
10,-1723.6194062500015,0,600
11,-1594.5322812500003,0,600
12,-1647.201312499995,0,600
13,-1861.3776874999994,0,600
14,-1518.2084062499994,0,600
15,-2124.709281250007,0,600
16,-1300.1245312500005,0,600
17,-1813.610187500003,0,600
18,-1790.1227499999986,0,600
19,-1660.6395624999996,0,600
20,-1485.8992812499985,0,600
21,-1841.052000000001,0,600
22,-1836.7992812500006,0,600
23,-1600.12375,0,600
24,-1456.8049062499967,0,600
25,-1508.975406249998,0,600
26,-1604.4662187499978,0,600
27,-1741.7369375000007,0,600
28,-1395.4473125000002,0,600
29,-1604.5623437500008,0,600
30,-1366.749499999998,0,600
31,-1641.3712187499975,0,600
32,-1832.6420625,0,600
33,-1684.9794999999983,0,600
34,-1623.241812499998,0,600
35,-1975.497874999998,0,600
36,-1594.1744062500006,0,600
37,-1699.5804999999982,0,600
38,-1456.590781249997,0,600
39,-1509.0089687499953,0,600
40,-1608.758281250001,0,600
41,-1671.5055312499992,0,600
42,-1471.2590937499997,0,600
43,-1623.8454687499996,0,600
44,-1566.36825,0,600
45,-1627.882187499998,0,600
46,-1642.7389062499997,0,600
47,-1600.2172500000001,0,600
48,-1314.0869687499987,0,600
49,-1737.2179374999996,0,600
50,-1490.3859375000009,0,600
51,-1622.9643124999975,0,600
52,-1747.394812500001,0,600
53,-1536.3536874999959,0,600
54,-1799.2666874999966,0,600
55,-1980.765843749998,0,600
56,-1814.2771875000017,0,600
57,-1313.5996250000019,0,600
58,-1627.696125000003,0,600
59,-1528.0165937499999,0,600
60,-1500.0363750000022,0,600
61,-1731.4886249999993,0,600
62,-1708.6253124999992,0,600
63,-1337.3626250000007,0,600
64,-1447.5693750000003,0,600
65,-1890.4550937500007,0,600
66,-1885.6461250000013,0,600
67,-1518.3740937499952,0,600
68,2134.0120937499987,1,590
69,-2190.0157187499995,0,600
70,-1866.1301250000001,0,600
71,-1466.1685000000011,0,600
72,-1956.828593750003,0,600
73,-1750.966125000001,0,600
74,-1603.8500625000006,0,600
75,-1790.8185000000071,0,600
76,-2103.490906250002,0,600
77,-1722.6401249999983,0,600
78,-1689.884249999998,0,600
79,-1790.1599062500002,0,600
80,-1865.7146562500004,0,600
81,-1785.3509062500027,0,600
82,-1695.0639062500031,0,600
83,-1790.2271562499984,0,600
84,-1394.1678125000005,0,600
85,-1504.8560937500006,0,600
86,-1451.823843749995,0,600
87,-1861.850593750002,0,600
88,-1703.9360000000029,0,600
89,-1784.4607500000002,0,600
90,-1604.7162812500048,0,600
91,-1742.9009375000012,0,600
92,-1632.778718750001,0,600
93,-1295.0099374999968,0,600
94,-1504.220593749995,0,600
95,-1594.2322500000012,0,600
96,-1659.819281249997,0,600
97,-1580.2848750000014,0,600
98,-1723.368375,0,600
99,-1631.791687499998,0,600
100,-1498.9630000000018,0,600
101,-1365.1905937500005,0,600
102,-1541.6552812500013,0,600
103,-1513.6619062499942,0,600
104,-1218.6638124999995,0,600
105,-1600.0621874999974,0,600
106,-1918.702093749997,0,600
107,-1775.7859374999998,0,600
108,-1908.2353437499994,0,600
109,-1670.7963437500039,0,600
110,-1617.7355624999975,0,600
111,-1746.7454062499976,0,600
112,-1617.7410624999961,0,600
113,-1232.9411562500009,0,600
114,-1852.0107187499982,0,600
115,-1675.2307499999993,0,600
116,-1618.946812499998,0,600
117,-1794.734375000001,0,600
118,-1671.1371249999988,0,600
119,-1981.3803749999995,0,600
120,-1713.7209374999964,0,600
121,-1714.3549062500012,0,600
122,-1726.9769062500013,0,600
123,-1266.4346562499982,0,600
124,-1494.9401562499986,0,600
125,-1813.8834687500016,0,600
126,-1990.4010000000044,0,600
127,-1585.1998437500006,0,600
128,-1836.587624999999,0,600
129,-1522.0688749999977,0,600
130,-1503.4520624999996,0,600
131,-1775.2949687499965,0,600
132,-1642.0228749999967,0,600
133,-2028.6800625000071,0,600
134,-1613.0224062499997,0,600
135,-1908.1989999999978,0,600
136,-1642.0563437500011,0,600
137,-1457.0960624999989,0,600
138,-1841.3752499999987,0,600
139,-1785.1490312499986,0,600
140,-1547.255718750001,0,600
141,-1913.128781250001,0,600
142,-1414.1753437499963,0,600
143,-1590.118343749998,0,600
144,-1546.986624999999,0,600
145,-1508.63403125,0,600
146,-1836.8536562499994,0,600
147,-1885.5000937500008,0,600
148,-1971.3174062499984,0,600
149,-1928.754312500004,0,600
150,-1456.4899999999993,0,600
151,-1523.979749999996,0,600
152,-1318.9723437499947,0,600
153,-1580.303124999995,0,600
154,-1495.1301874999933,0,600
155,-1752.2132812499974,0,600
156,-1399.311531249999,0,600
157,-1971.7811250000007,0,600
158,-1561.707656249997,0,600
159,-1537.8588437500002,0,600
160,-1899.5034062499979,0,600
161,-1795.6167812500005,0,600
162,-1713.1574062500003,0,600
163,-1417.5725937499992,0,600
164,-1847.0643437500003,0,600
165,-1731.8353749999972,0,600
166,-1765.1138124999998,0,600
167,-1889.4413437499984,0,600
168,-1594.2108749999993,0,600
169,-1571.0974062499986,0,600
170,-1957.0083437500039,0,600
171,-1507.9835312500031,0,600
172,-1961.7171250000004,0,600
173,-1679.6266875000001,0,600
174,-1742.6297187500022,0,600
175,-1699.2584687500016,0,600
176,-1771.09446875,0,600
177,-1550.8539062500015,0,600
178,-1861.4411874999998,0,600
179,-1352.4586249999973,0,600
180,-1923.1639999999995,0,600
181,-1966.322687499999,0,600
182,-1756.9622187500008,0,600
183,-1957.31865625,0,600
184,-1422.5940312499968,0,600
185,-1666.7892187500026,0,600
186,-1899.74275,0,600
187,-1780.9111874999983,0,600
188,-1613.4981250000005,0,600
189,-1642.3657499999945,0,600
190,-1612.4760312500018,0,600
191,-1823.9030312500017,0,600
192,-1390.6627187499994,0,600
193,-1456.5522812499996,0,600
194,-1609.4834062500001,0,600
195,-1588.5836250000057,0,600
196,-1745.791281250001,0,600
197,-1546.6084375000005,0,600
198,-1261.405968749997,0,600
199,-1590.5932499999983,0,600
200,-1789.641312499998,0,600
201,-1703.8014062500001,0,600
202,-1445.9734062499967,0,600
203,-1432.2690937499995,0,600
204,-1756.4704687499989,0,600
205,-1456.5703749999993,0,600
206,-1890.3796875000012,0,600
207,-1804.4599374999975,0,600
208,-1362.23059375,0,600
209,-1805.1419687500031,0,600
210,-1636.8222499999983,0,600
211,-1780.1537812499994,0,600
212,-1780.9632812500033,0,600
213,-1585.5171249999958,0,600
214,-640.0660937500003,0,600
215,-1579.9086250000007,0,600
216,-1237.875312499999,0,600
217,-1404.6582187499998,0,600
218,-1652.168906250002,0,600
219,-1637.013156250002,0,600
220,-1575.9972499999974,0,600
221,-1765.1077500000006,0,600
222,-1598.973375,0,600
223,-1513.0147187500008,0,600
224,-1148.1000624999972,0,600
225,-1817.7486249999986,0,600
226,-1531.9496249999993,0,600
227,-1628.7094062499987,0,600
228,-1718.50065625,0,600
229,-1704.3235312500012,0,600
230,-1676.3764374999992,0,600
231,-1637.2768437499976,0,600
232,-1661.4670937499995,0,600
233,-1723.4830312500023,0,600
234,-1985.4467812499986,0,600
235,-1837.2073437499985,0,600
236,-1785.1628124999957,0,600
237,-1532.9994687499993,0,600
238,-1398.6970312500005,0,600
239,-1466.4129999999989,0,600
240,-1662.0860000000046,0,600
241,-1814.157531249997,0,600
242,-1823.2962499999985,0,600
243,-1875.4390937499982,0,600
244,-1471.1817812499985,0,600
245,-1651.966156249997,0,600
246,-1384.478468749999,0,600
247,-1655.7287500000018,0,600
248,-1708.9164999999975,0,600
249,-2003.688874999998,0,600
250,-1761.2753125000008,0,600
251,-1608.9274687499972,0,600
252,-1690.055624999998,0,600
253,-1445.7316874999997,0,600
254,-1898.371406249999,0,600
255,-1851.796749999998,0,600
256,-1642.672437500001,0,600
257,-1714.222625,0,600
258,-1694.4671562499975,0,600
259,-1913.8890624999997,0,600
260,-1927.4498437499992,0,600
261,-1702.883843750001,0,600
262,-1384.5063750000006,0,600
263,-1675.7330000000004,0,600
264,-1504.3654375000015,0,600
265,-1294.04509375,0,600
266,-1556.8954999999983,0,600
267,-1404.2935937500001,0,600
268,-1732.5643125000017,0,600
269,-1976.0904999999996,0,600
270,-1900.1726250000002,0,600
271,-1465.8552499999994,0,600
272,-1247.1450312499978,0,600
273,-1741.5039999999979,0,600
274,-1818.5544062500007,0,600
275,-1557.1671875,0,600
276,-1250.6621875000035,0,600
277,-1664.8981875000002,0,600
278,-1965.2276562499997,0,600
279,-1689.4015937500003,0,600
280,-1504.6759062499923,0,600
281,-1494.7067500000044,0,600
282,-1700.3135000000004,0,600
283,-2109.0612812500003,0,600
284,-1747.463781249998,0,600
285,-1385.6907812499976,0,600
286,-1728.2103437499993,0,600
287,-1909.2489062500017,0,600
288,-1451.1994375000004,0,600
289,-1366.6337812499976,0,600
290,-1757.4070937499996,0,600
291,-1147.326906249999,0,600
292,-1464.1055625,0,600
293,-1656.2366875000018,0,600
294,-1647.1805624999993,0,600
295,-1679.9607812499964,0,600
296,-1790.0128125000017,0,600
297,-2057.3887812500043,0,600
298,-1823.318281249999,0,600
299,-1560.598562499999,0,600
300,-1370.4383125,0,600
301,-1556.532812499998,0,600
302,-1975.7209999999984,0,600
303,-1371.0364062499964,0,600
304,-1799.8706875000012,0,600
305,-1717.5485625000024,0,600
306,-1980.2248437499984,0,600
307,-1732.3805937499985,0,600
308,-1699.0750624999998,0,600
309,-1933.2526874999994,0,600
310,-1200.1679062499986,0,600
311,-1318.500718749998,0,600
312,-1833.4204687500005,0,600
313,-1337.2299375000005,0,600
314,-1532.8162187499993,0,600
315,-1905.339406250002,0,600
316,-1718.886562499999,0,600
317,-1685.4536874999985,0,600
318,-1947.6596250000011,0,600
319,-1284.043093750003,0,600
320,-1442.2973124999999,0,600
321,-1365.09,0,600
322,-1113.931875,0,600
323,-1232.9952812499996,0,600
324,-1437.5758124999954,0,600
325,-1451.1626562500032,0,600
326,-1661.030343750001,0,600
327,-2032.8225937499994,0,600
328,-1242.1530625000005,0,600
329,-1742.3775937499972,0,600
330,-1569.9765000000025,0,600
331,-1219.1642187499992,0,600
332,-1622.81953125,0,600
333,-1571.2903437499974,0,600
334,-1417.6861562500003,0,600
335,-1441.746374999999,0,600
336,-1598.8204062500004,0,600
337,-1399.0333437500008,0,600
338,-1670.4790624999991,0,600
339,-1890.1638125000036,0,600
340,-1370.609468749998,0,600
341,-1403.3159374999962,0,600
342,-1446.4263437500006,0,600
343,-1346.9845312499997,0,600
344,-1836.7031875000011,0,600
345,-1603.8816874999995,0,600
346,-1437.2190937499988,0,600
347,-1675.4826875000006,0,600
348,-1413.735625,0,600
349,-1480.7427187499998,0,600
350,-1932.5376249999977,0,600
351,-1890.2682500000021,0,600
352,-1642.6099687499998,0,600
353,-1642.7886562500012,0,600
354,-1633.344875,0,600
355,-1503.6539062499985,0,600
356,104.37318750000213,1,590
357,-2003.561125000001,0,600
358,-1509.0435312500028,0,600
359,-1484.9467812499984,0,600
360,-1661.8044062499991,0,600
361,-1813.9817812499987,0,600
362,-1737.7824062499992,0,600
363,-1694.8709999999946,0,600
364,-1684.6404062500014,0,600
365,-1489.380656249997,0,600
366,-1433.015843749998,0,600
367,-1466.2174687499983,0,600
368,-1604.3827187500015,0,600
369,-1514.023343749999,0,600
370,-1766.0287187499994,0,600
371,-1636.535812499999,0,600
372,-1635.8108124999992,0,600
373,-1523.1724062500011,0,600
374,-1446.7221875000023,0,600
375,-1461.5066562499983,0,600
376,-1361.1721874999985,0,600
377,-1856.9655625000005,0,600
378,-1622.247187500002,0,600
379,-1347.450499999997,0,600
380,-1199.5094374999994,0,600
381,-1969.6083437499985,0,600
382,-1714.1598437500006,0,600
383,-1856.5674999999994,0,600
384,-2007.8352499999987,0,600
385,-1633.7562500000006,0,600
386,-1708.4738437500005,0,600
387,-1446.4542812499978,0,600
388,-1741.1327187499992,0,600
389,-1623.4229375000002,0,600
390,-1733.3329375,0,600
391,-1532.6182187499992,0,600
392,-1532.3839062500028,0,600
393,-1513.7165312499992,0,600
394,-1561.6412812500014,0,600
395,-2051.5472499999987,0,600
396,-1675.5388125000013,0,600
397,-1837.187343750002,0,600
398,-1551.95640625,0,600
399,-1289.088093749998,0,600
400,-1479.1978437500024,0,600
401,-1857.5508437500066,0,600
402,-1603.9027500000009,0,600
403,-1565.8405312499974,0,600
404,-1274.7211562499979,0,600
405,-1760.671687500001,0,600
406,-1718.5158437500004,0,600
407,-1788.6808437499985,0,600
408,-1555.8330312500009,0,600
409,-1285.2328437499996,0,600
410,-1494.0174687500003,0,600
411,-2142.189968749998,0,600
412,-1532.1681562499957,0,600
413,-1499.0703749999989,0,600
