episode,return,success,steps
1,-3196.7504999999865,0,1000
2,-3262.7639999999956,0,1000
3,-643.3084999999991,1,354
4,-3206.2959999999916,0,1000
5,-3063.243499999999,0,1000
6,-3640.7834999999936,0,1000
7,-3688.1814999999942,0,1000
8,-3146.667000000011,0,1000
9,-1125.205000000004,1,491
10,-4062.5124999999985,0,1000
11,-3409.5809999999983,0,1000
12,-1996.289500000004,1,600
13,-1019.1569999999997,1,363
14,-2565.5460000000116,0,1000
15,-318.53499999999997,1,159
16,-3419.506999999994,0,1000
17,-2933.1345000000065,0,1000
18,-2838.1890000000158,0,1000
19,-2654.612500000009,0,1000
20,-2513.0520000000033,0,1000
21,-2503.025499999992,0,1000
22,-2864.898500000001,0,1000
23,-718.8584999999981,1,406
24,-2758.2049999999917,0,1000
25,-3124.4275000000093,0,1000
26,-3554.7640000000015,0,1000
27,-3570.4104999999877,0,1000
28,-3301.4235000000012,0,1000
29,-3925.277000000005,0,1000
30,-2291.670500000022,0,1000
31,-2965.1910000000053,0,1000
32,-2465.627499999999,0,1000
33,-2936.364500000006,0,1000
34,-3186.156499999999,0,1000
35,-3363.8885000000037,1,850
36,-3780.703999999994,0,1000
37,-3812.3239999999814,0,1000
38,-3609.4554999999887,0,1000
39,-3710.211500000009,0,1000
40,-2339.407000000003,0,1000
41,-2366.4870000000074,0,1000
42,-2898.490500000025,0,1000
43,-3420.2989999999963,0,1000
44,-2736.439000000014,0,1000
45,-3145.9315000000083,0,1000
46,-2120.507999999999,0,1000
47,-2457.0825000000127,0,1000
48,-2804.7755000000243,0,1000
49,-2490.677500000005,0,1000
50,-2671.990000000017,0,1000
51,-2444.380000000006,0,1000
52,-2283.507000000007,0,1000
53,-2334.954000000017,0,1000
54,-2052.3980000000033,1,805
55,-2872.489500000003,0,1000
56,-2869.2235000000014,0,1000
57,-2055.4605000000092,0,1000
58,-2079.8270000000057,0,1000
59,-2459.9440000000177,0,1000
60,-2426.694500000005,0,1000
61,-2447.4914999999974,0,1000
62,-2710.1529999999957,0,1000
63,-1990.8539999999975,0,1000
64,-2178.795000000002,0,1000
65,-2374.9369999999963,0,1000
66,-2872.8310000000006,0,1000
67,-4288.386499999997,0,1000
68,-2765.6444999999917,0,1000
69,-2982.452499999994,0,1000
70,-2734.237999999992,0,1000
71,-2330.6134999999977,0,1000
72,-3636.1014999999984,0,1000
73,-3696.637499999997,0,1000
74,-2861.930999999996,0,1000
75,-2004.215499999997,0,1000
76,-3042.1959999999904,0,1000
77,-2361.509999999996,0,1000
78,-3189.112000000001,0,1000
79,-2280.3859999999954,0,1000
80,-3412.057999999996,0,1000
81,-2855.159499999995,0,1000
82,-2918.350499999997,0,1000
83,-2746.2895000000103,0,1000
84,-227.8914999999999,1,167
85,-4038.297499999988,0,1000
86,-4108.034500000001,0,1000
87,-770.9204999999982,1,488
88,-1565.154000000001,1,593
89,-2791.7330000000047,0,1000
90,-2412.7645000000157,0,1000
91,-2559.515000000013,0,1000
92,-1763.9340000000027,1,943
93,-1502.801500000005,1,724
94,-3433.670999999997,0,1000
95,-2182.1720000000096,0,1000
96,-1603.4530000000007,1,868
97,-1737.6420000000016,1,678
98,-1770.7130000000043,1,711
99,-1643.0425000000039,1,840
100,-2475.1910000000075,0,1000
101,-1138.0705000000003,1,588
102,-2586.074500000017,0,1000
103,-2112.170000000013,0,1000
104,-427.7814999999998,1,284
105,-503.5289999999991,1,278
106,-2749.284499999998,1,956
107,-2927.1085,0,1000
108,-795.1429999999979,1,388
109,-802.9694999999997,1,271
110,-474.03100000000006,1,256
