episode,return
1,-2633.972526580696
51,-2143.0901843647134
101,-758.6092914582559
151,-2788.032226639549
201,-2959.9095928554575
251,-2229.8093936336268
301,-2635.890939243624
351,-2683.188069301845
401,-2996.2391278772207
451,-2856.134005084573
501,-2728.953563575066
551,-2773.6841023733327
601,-2646.897873227511
651,-2575.371143207127
701,-2637.3917367893027
751,-2914.5911770519847
801,-2744.4295245717612
851,-2645.347293255583
901,-2234.382659955733
951,-2299.946689614981
1001,-1149.5901769250058
