episode,return
1,-305.3703968253968
51,-4942.303059523809
101,-2130.05097687851
151,-2282.84975409848
201,-3302.402019111429
251,-480.60130939893486
301,-3317.8532959473578
351,-3271.0273460618373
401,-1996.0485371744905
451,-4458.650140151515
501,-1175.7017936814964
551,-3495.3875928466405
601,-2712.962891894311
651,-4501.99618784583
701,-1912.7003477434278
751,-129.02541666666673
801,-2703.46076089778
851,-2730.5666624388555
901,-1546.0739383706589
951,-314.4458531746031
1001,-1850.4813152397937
1051,-2875.560788439442
1101,-2010.065562842698
1151,-3110.6019790193764
1201,-972.9794242285486
1251,-738.7773308578676
1301,-315.7095111832611
1351,-1621.3356631809438
1401,-2133.923236867354
1451,-824.3991842463097
1501,-867.723712961874
1551,-703.1889671613112
1601,-582.6472439179239
1651,-1653.4848535078324
1701,-2072.340535193151
1751,-1487.7752968224588
1801,-277.6106464311829
1851,-675.3894311325932
1901,-2330.630930056459
1951,-2134.7233766712316
2001,-657.4342156067951
2051,-1106.4942724279913
2101,-812.5282016237971
2151,-943.3501056889345
2201,-563.8697254689754
2251,-2400.1848061136666
2301,-416.704386835645
2351,-360.61399960055013
2401,-1035.032173414959
2451,-1091.4292525382782
2501,-755.7026238682195
2551,-335.6743944666445
2601,-1943.0152524413504
2651,-398.18099870962357
2701,-676.2361948666652
2751,-1215.819333118588
2801,-297.17509919247436
2851,-2499.909327353709
2901,-2241.353103054598
2951,-375.0887516233765
3001,-421.17061588411605
