agent,sigma,run_id,success_rate_last50,mean_totalreturn_last50,std_totalreturn_last50
DQN,0.0,0,0.0,4.689367499999924,9.026658380104147
DQN,0.0,1,0.96,-122.37054999999897,695.7585756139489
DQN,0.0,2,1.0,68.19090999999999,45.30457756678118
DQN,0.0,3,0.0,-8.39317249999998,66.08877811328878
DQN,0.0,4,1.0,91.38002499999999,9.753231964590098
DQN,0.0,5,1.0,86.71303499999998,11.691810166388361
DQN,0.0,6,1.0,65.28766250000001,19.652316302018917
DQN,0.0,7,1.0,89.31036750000001,3.9256989585804
DQN,0.1,0,1.0,81.0892075,23.967812891195955
DQN,0.1,1,1.0,44.07222249999999,131.81779906119007
DQN,0.1,2,0.0,-68.68723499999987,63.734067205475256
DQN,0.1,3,0.0,-132.7336699999989,126.15552711261361
DQN,0.1,4,0.0,-24.59673000000011,41.708313069631274
DQN,0.1,5,0.0,-72.156515,38.59021730647043
DQN,0.1,6,0.0,-66.12368749999995,24.32554175565574
DQN,0.1,7,0.0,-61.03169249999999,24.533622131223783
DQN,0.2,0,0.0,-188.90549500000046,99.78641466702774
DQN,0.2,1,0.0,-86.26558749999958,54.92618873750269
DQN,0.2,2,0.0,-64.4947349999998,23.913342455630612
DQN,0.2,3,0.0,-79.4874675,82.1077961282257
DQN,0.2,4,0.0,-46.146970000000195,21.774512945250905
DQN,0.2,5,0.02,-70.60687500000003,45.669254538203575
DQN,0.2,6,0.0,-62.823489999999964,51.79015235703033
DQN,0.2,7,0.0,-50.137567500000074,38.047958776968144
PPO,0.0,0,0.0,-176.68300750000003,634.7727421871999
PPO,0.0,1,0.0,-1660.8115650000002,1994.716551159666
PPO,0.0,2,1.0,-297.3514124999998,324.93046877156485
PPO,0.0,3,0.0,-1504.740765,1727.2531552640594
PPO,0.0,4,1.0,-333.9504524999998,348.7848552823576
PPO,0.0,5,0.88,-446.0258074999996,522.2143406284463
PPO,0.0,6,0.88,-446.0258074999996,522.2143406284463
PPO,0.0,7,0.88,-446.0258074999996,522.2143406284463
PPO,0.1,0,1.0,-310.74576749999983,359.69514530821107
PPO,0.1,1,1.0,-383.17939999999965,419.45316516146386
PPO,0.1,2,0.94,-391.1009799999998,561.0657219680702
PPO,0.1,3,1.0,-276.8735224999999,334.98399922613805
PPO,0.1,4,1.0,-320.6968624999995,417.6303502754179
PPO,0.1,5,1.0,-297.20039499999984,364.25633896004246
PPO,0.1,6,1.0,-297.20039499999984,364.25633896004246
PPO,0.1,7,1.0,-297.20039499999984,364.25633896004246
PPO,0.2,0,0.98,-427.6269724999997,444.35201754524496
PPO,0.2,1,1.0,-520.0774299999993,325.23183586908374
PPO,0.2,2,0.0,-251.24730749999972,180.58443257553054
PPO,0.2,3,1.0,-428.95212499999974,357.9770349855447
PPO,0.2,4,1.0,-355.8654449999997,407.5263589370149
PPO,0.2,5,1.0,-272.1919624999999,249.91605258634215
PPO,0.2,6,1.0,-272.1919624999999,249.91605258634215
PPO,0.2,7,1.0,-272.1919624999999,249.91605258634215
